RBD;NOMBRE;DEPENDENCIA;DIRECCIÓN;REGION;COMUNA;DIRECTOR/A;E- MAIL DIRECTOR/A;TELEFONO;E- MAIL ESTABLECIMIENTO ;Discapacidad Auditiva;Discapacidad Intelectual;Discapacidad Visual; Trastornos Específicos del Lenguaje; Transtornos Motores; Autismo; Discapacidad Graves Alteraciones en la Capacidad de Relación y Comunicación; Discapacidad Múltiple; Sordoceguera
14909;ESCUELA ESPECIAL DE LENGUAJE PAIHUEN-MAPU;Particular Subvencionado;ROBINSON CRUSOE 635 VILLA ITALIA S/N;5;SAN ANTONIO;PAULA ALEJANDRA MORA LARA;PAUMORALARA@GMAIL.COM;2-27692738;DIREC_PAIHUEN@YAHOO.ES;;;;ü;;;;;
14924;ESC.ESP. DE LENGUAJE ACUARELA DEL MAR;Particular Subvencionado;MANUEL GUERRERO N°2670 ACHUPALLAS 2670;5;VIÑA DEL MAR;ALICIA ANTONIETA OLIVA CONTRERAS;ACUARELA.MAR@GMAIL.COM;32-3195009;ACUARELA.MAR@GMAIL.COM;;;;ü;;;;;
14926;ESCUELA ESPECIAL DE LENGUAJE AÛKEN;Particular Subvencionado;COVADONGA Nº 1619 1619;5;QUILPUÉ;KATHERIN DEL CARMEN ARÁNGUIZ CATALÁN;KARANGUIZC@HOTMAIL.COM;32-3186107;MUNOZMARTINEZ.FELIPE@GMAIL.COM;;;;ü;;;;;
14927;ESCUELA ESPECIAL DE LENGUAJE DEL SOL;Particular Subvencionado;CUATRO PINOS 2840;5;QUILPUÉ;PALOMA ALEJANDRA DE LA TORRE NAVARRO;PALOMADELATORRE@ESCUELADELSOL.CL;32-2829935;POMADELATORRE@HOTMAIL.COM;;;;ü;;;;;
14928;ESCUELA ESP.DE LENGUAJE TIERRA MADRE;Particular Subvencionado;HUANHUALÍ 1132 VILLA ALEMANA S/N;5;VILLA ALEMANA;ALEJANDRA LORETO OLMEDO ALTAMIRANO;LORETO.OLMEDO@GMAIL.COM;2-28914866;ESCUELATIERRAMADRE@GMAIL.COM;;;;ü;;;;;
14929;ESCUELA ESPECIAL DE LENGUAJE KUMELEN;Particular Subvencionado;LIBERTAD 520 ;5;LA CALERA;LUCA SCHWENKE MONTEVERDE;LUCA.SCHWENKE@GMAIL.COM;33-226247;ESCUELA.KUMELEN@GMAIL.COM;;;;ü;;;;;
14930;ESCUELA ESPECIAL DE LENGUAJE MANANTIAL;Particular Subvencionado;J.J. GODOY   206 ;5;LA CALERA;MACARENA ROCÍO DE LOS ANGELES GARRIDO AGUILAR;MACA_GARRIDO@YAHOO.ES;9-96107112;ESCUELADELENGUAJEMANANTIAL@YAHOO.CL;;;;ü;;;;;
14931;ESCUELA ESP.DE LENGUAJE VOCES DEL VALLE;Particular Subvencionado;O`HIGGINS 165 A. EX LA PAMPILLA 165;5;CALLE LARGA;DANIEL ERNESTO JAQUE LÓPEZ;ESCUELAVOCESDELVALLE@GMAIL.COM;34-2462226;ESCUELAVOCESDELVALLE@GMAIL.COM;;;;ü;;;;;
14932;ESCUELA ESP.DE LENGUAJE CAICURA EPU;Particular Subvencionado;TOROMAZOTE Nº 257 S/N;5;SAN FELIPE;MARÍA SOLEDAD BASULTO GONZÁLEZ;CAICURA@HOTMAIL.COM;34-293554;CAICURAEPU@HOTMAIL.COM;;;;ü;;;;;
14933;ESC. ESP. DE LENG. CUMBRES DE ACONCAGUA;Particular Subvencionado;PEDRO OLMOS  487 VILLA LA DOÑITA S/N;5;SAN FELIPE;CLAUDIA ARACELI URRA SEPÚLVEDA;CLAUDIAUTPCUMBRES@GMAIL.COM;34-2447741;ESCUELACUMBRESDEACONCAGUA@HOTMAIL.COM;;;;ü;;;;;
14934;ESC. ESPECIAL LENGUAJE MI PEQUEÑO MUNDO;Particular Subvencionado;EDWARDS 468;5;LLAILLAY;LINSEY SIDNEY ELKINS GONZÁLEZ;LINSEYELKINS@GMAIL.COM;34-611409;PEQUEMUNDOLLAYLLAY@HOTMAIL.CL;;;;ü;;;;;
14935;ESCUELA ESPECIAL DE LENGUAJE CARACOLITO;Particular Subvencionado;CARRERA 1658 1658;5;LA CALERA;ANDREA ELENA SAAVEDRA BERRÍOS;ITA0606@HOTMAIL.COM;00-513272;ESCUELALENGUAJECARACOLITO@GMAIL.COM;;;;ü;;;;;
14937;ESCUELA ESPECIAL DE LENGUAJE ANTARES;Particular Subvencionado;4 ORIENTE 396;5;VIÑA DEL MAR;DANNIELA ALEJANDRA LABRAÑA SALAS;DANNYLAB@HOTMAIL.COM;32-3286018;ANTARES.ESCUELADELENGUAJE@GMAIL.COM;;;;ü;;;;;
14938;ESCUELA ESPECIAL DE LENGUAJE AITUE;Particular Subvencionado;AV. ALONSO ZUMAETA 1979;5;LA CALERA;HELEN BEATRIZ MONTIEL MOLINA;ESCUELAAITUE.LACALERA@GMAIL.COM;33-2382557;ESCUELAAITUE@HOTMAIL.COM;;;;ü;;;;;
14941;ESCUELA ESPECIAL DE LENGUAJE CARIÑOSITOS;Particular Subvencionado;CORCOLEN ;5;VIÑA DEL MAR;INGEBORG EMILIA ARMIJO ORTEGA;INGEBORG.ARMIJO.ORTEGA@GMAIL.COM;32-2887310;ESCUELA.CARINOSITOS@GMAIL.COM;;;;ü;;;;;
14944;ESCUELA ESPECIAL DE LENGUAJE TOMASITO;Particular Subvencionado;CONDOMINIO LOMAS DEL PARQUE 315;5;VALPARAÍSO;BÁRBARA ALEJANDRA ACUÑA MUÑOZ;JEFATURA.TOMASITO@GMAIL.COM;03-23509215;JEFATURA.INFOESCUELAS@GMAIL.COM;;;;ü;;;;;
14945;ESC. ESP. DE LENGUAJE CUMBRES DE ACONCAGUA;Particular Subvencionado;LAS  HERAS 671;5;LOS ANDES;CLAUDIA ARACELI URRA SEPÚLVEDA;CLAUDIAUTPCUMBRES@GMAIL.COM;34-2447737;ESCUELACUMBRESDEACONCAGUA.LA@GMAIL.COM;;;;ü;;;;;
14947;ESC.ESP.DE TRASTORNOS DE LENGUAJE NAHUEL;Particular Subvencionado;CALLE PITAMA 2395;5;QUILPUÉ;JACQUELINE DEL CARMEN RODRÍGUEZ RÍOS;JACQUELINE.RIOS.R@GMAIL.COM;32-2913689;ESCUELALENGUAJENAHUEL@GMAIL.COM;;;;ü;;;;;
14949;ESCUELA ESPECIAL DE LENGUAJE CURIMON;Particular Subvencionado;VILLA CURIMON ;5;SAN FELIPE;OCTAVIO HERNÁN PERALTA ESCAMILLA;OPERALTAE@GMAIL.COM;34-2530857;ESCUELALENGUAJECURIMON@GMAIL.COM;;;;ü;;;;;
14950;JARDIN INFANTIL Y ESC. ESPECIAL DE LENG. SEMILLITA;Particular Subvencionado;JOSE MIGUEL CARRERA 418;5;CARTAGENA;FANNY MARJORIE LLANOS ÁLVAREZ;FANNY.LLANOS@JARDINSEMILLITACARTAGENA.CL;35-459165;JARDINSEMILLITACARTAGENA@GMAIL.COM;;;;ü;;;;;
14954;ESCUELA ESPECIAL DE LENGUAJE NUBECITAS;Particular Subvencionado;OHIGGINS 55;5;VIÑA DEL MAR;MARÍA ESTEFANI OLIVARES QUINIO;MARIAESTEFANIOQ@GMAIL.COM;32-584919;MARIAESTEFANIOQ@GMAIL.COM;;;;ü;;;;;
14955;ESCUELA ESPECIAL DE LENGUAJE MI RESOL;Particular Subvencionado;BULNES 712;5;QUILLOTA;BÉLGICA DEL ROSARIO MORALES CISTERNAS;BEKA79_@LIVE.COM;33-2515018;ESCUELADELENGUAJEMIRESOL@GMAIL.COM;;;;ü;;;;;
15551;ESCUELA ESPECIAL CRECER;Particular Subvencionado;CHORRILLOS 535;6;RANCAGUA;LORENA DEL CARMEN ALBORNOZ PÉREZ;LORESPERANZA@GMAIL.COM;9-62285862;ECRECER@GMAIL.COM;ü;;;;;;ü;;
15557;ESCUELA ESPECIAL FRAY AVE MARIA;Particular Subvencionado;AV. FRANCIA 455 S/N;6;RANCAGUA;CLAUDIA ALEJANDRA SALAS GUTIÉRREZ;CLAUDIASALASESCUELA@GMAIL.COM;72-2230761;PRISOLIVARES@GMAIL.COM;;ü;;;;;;;
15582;COLEGIO SAN MIGUEL ARCANGEL;Particular Subvencionado;AVDA.CENTRAL 30  VILLA TRIANA 30;6;RANCAGUA;CAMILA ANDREA MORENO AZÓCAR;CAMI.14@HOTMAIL.ES;72-2756391;FUND.DOWN6REGION@GMAIL.COM;;ü;;;;;;;
15586;COLEGIO TIA MONICA;Particular Subvencionado;PASAJE RENE ROA  VILLA MAGISTERIO 35;6;RANCAGUA;HERNÁN EUGENIO MORÁN VÁSQUEZ;SOSTENEDOR.CREARTE@GMAIL.COM;72-2962313;COLEGIO.TIAMONICA@GMAIL.COM;;;;ü;;;;;
15607;CENTRO TRAST. Y TRAT. LENG. CHOIN RAYEN;Particular Subvencionado;AVDA. VIÑA DEL MAR 0142 S/N;6;RANCAGUA;ERIKA PATRICIA OLIVARES NÚÑEZ;ERIKA.OLIVARESN@GMAIL.COM;72-225299;CHOINRAYEN@GMAIL.COM;;;;ü;;;;;
15629;ESCUELA ESPECIAL DE LENGUAJE RAICES DE RANCAGUA;Particular Subvencionado;MALLECO 51 ;6;RANCAGUA;DANILO ALEXIS VALENZUELA RIQUELME;DIRECTORA@RAICESRANCAGUA.CL;72-2277082;CRAICES@TERRA.CL;;;;ü;;;;;
15641;CENTRO EDUCATIVO INTEGRAL LAS ENCINAS;Particular Subvencionado;AVDA. FREIRE 960;6;RANCAGUA;INGRID MARLENE PARRA ASTUDILLO;INGRID.PARRA@COANIL.CL;2-27858164;UELASENCINAS@COANIL.CL;;;;;;;ü;;
15644;COLEGIO AUDICION Y LENG. SAN GASPAR;Particular Subvencionado;QUECHEREGUAS 781;6;SAN FERNANDO;MARCELA PAOLA DE LOURDES ALVARADO VOLLAIRE;SANGASPARCOLEGIO@YAHOO.ES;72-2721202;SANGASPARCOLEGIO@YAHOO.ES;;;;ü;;;;;
15653;CENTTRO TRAST.LENGUAJE NUESTRA ESPERAN;Particular Subvencionado;CALLE CENTRAL 06 POBLACION LOS AROMOS 6;6;MOSTAZAL;FABIOLA ANDREA NICOLETTI SEGNER;FNICOLETTI1@GMAIL.COM;72-2491495;CLENGUAJENUESTRAESPERANZA@GMAIL.COM;;;;ü;;;;;
15656;CENTRO TRAST.LENGUAJE LOS BRUJITOS;Particular Subvencionado;S.TERESITA 17 SAN LORENZO 17;6;MACHALÍ;YOLANDA CRISTINA LEÓN PONS;YLEONPONS@HOTMAIL.COM;72-280160;YLEONPONS@HOTMAIL.COM;;;;ü;;;;;
15660;CENTRO REHAB. DEL LENGUAJE ORAL CERLO;Particular Subvencionado;MADRID 1055 POBL RECREO 2 ;6;RANCAGUA;CLODOMIRA DE LAS MERCEDES PEÑALOZA FUENTES;CERLOVIREGION@HOTMAIL.COM;72-252286;CERLOVIREGION@HOTMAIL.COM;;;;ü;;;;;
15661;COLEGIO DIVINA ESPERANZA;Particular Subvencionado;RAMON DE VAL 1316 VILLA TRIANA S/N;6;RANCAGUA;CONSTANZA CAROLINA FLORES ADRIAN;SOSTENEDOR@COLEGIOESPECIAL.CL;-;DIRECCION@COLEGIOESPECIAL.CL;;;;;;;;ü;
15663;ESCUELA DEL LENGUAJE SANTA MARIA;Particular Subvencionado;21 DE MAYO 565;6;SANTA CRUZ;ISABEL ESPERANZA HINOJOSA PUGA;HINOPU@YAHOO.COM;72-2824954;ESCUELASANTAMARIA@HOTMAIL.COM;;;;ü;;;;;
15672;C.DE TRANS.DE LA COMUNIC. STA.TERESA DE JESUS;Particular Subvencionado;JOSE MIGUEL CARRERA 1781;6;SAN VICENTE;PATRICIA ALEJANDRA MEZA OLGUÍN;CORPORACIONJAMEZ@GMAIL.COM;72-2574704;TERESITADEJESUS01@YAHOO.COM;;;;ü;;;;;
15673;ESC. ESP. EL ROBLE, CENTRO DE ATENCION A NECES. EDUC. ESP.;Particular Subvencionado; ;6;SAN FERNANDO;CLAUDIA ANDREA CROVARI EULUFI;CROVARIEULUFI@YAHOO.ES;72-2721997;escuelaelroble.sanfernando@gmail.com;;ü;;;;;;ü;
15681;CENTRO EDUCATIVO INTEGRAL MARIA MAGDALENA;Particular Subvencionado;VALDIVIA 123;6;SAN FERNANDO;LORENA FERNANDA ALIAGA ALIAGA;LORENAALIAGA.EDUCPARV@GMAIL.COM;72-716629;ESCLENGUAJEMARIAMAGDALENA@GMAIL.COM;;;;ü;;;;;
15687;ESCUELA MUNICIPAL DE LENGUAJE SANTA CRUZ;Particular Subvencionado;AVENIDA CENTRAL 485 POBLACION EMPLEADOS PARTICULARES 485;6;SANTA CRUZ;CLAUDIA GIOVANNA LEONCINI ESPINOZA;CLEONCINI@HOTMAIL.COM;72-823965;CLEONCINI@HOTMAIL.COM;;;;ü;;;;;
15691;ECUELA DE LENGUAJE LOS PALTOS;Particular Subvencionado;BALMACEDA 289 289;6;PEUMO;VERÓNICA ISABEL MARCHANT VALENCIA;VEROMARCHANTV@YAHOO.ES;72-2561353;CHELACELIS@YAHOO.ES;;;;ü;;;;;
15698;ESCUELA DE LENGUAJE SAN IGNACIO;Particular Subvencionado;AVENIDA ESPANA 254;6;SAN VICENTE;ANA MARÍA GUTIÉRREZ DROGUETT;MARIANA.DROGUETT65@YAHOO.ES;72-571000;ESCUELASANIGNACIO@GMAIL.COM;;;;ü;;;;;
15706;CENTRO DE LENGUAJE SABERES;Particular Subvencionado;AVDA. MIGUEL RAMIREZ 715 S/N;6;RANCAGUA;MARIANELA DEL PILAR NÚÑEZ BAEZA;MPNB24@HOTMAIL.COM;72-210562;ESCUELASABERES@YAHOO.ES;;;;ü;;;;;
15708;ESCUELA ESPECIAL DE NERQUIHUE;Particular Subvencionado;NERQUIHUE S/N ;6;LOLOL;BETANIA BERENICE GARRIDO GARCES;BETANIAGARRIDO@HOTMAIL.COM;72-941066;ESC.ESP.NERQUIHUE@GMAIL.COM;;ü;;;;;;;
15712;CENTRO TRAST. DEL LENGUAJE ORAL ALBORADA;Particular Subvencionado;HECTOR ZAMORANO 1051. VILLA TRIANA S/N;6;RANCAGUA;MARÍA JOSÉ ARAYA LEÓN;CL.ALBORADA@GMAIL.COM;72-2211501;CL.ALBORADA@GMAIL.COM;;;;ü;;;;;
15713;COLEGIO DE LENGUAJE RAILEF ;Particular Subvencionado;DIONISIO ACEVEDO 386 S/N;6;PICHILEMU;PAULINA VALERIA PALMA SANDOVAL;ESCUELADELENGUAJE@HOTMAIL.COM;72-2836050;ESCUELADELENGUAJE@HOTMAIL.COM;;;;ü;;;;;
15714;ESCUELA DE TRASTORNOS DE LA COMUNICACION LA CRUZ;Particular Subvencionado;AVENIDA EL SOL 631;6;RANCAGUA;CAROLINA ANDREA BUSTAMANTE SANDOVAL;FERNA1996@HOTMAIL.COM;72-2277039;FERNA1996@HOTMAIL.COM;;;;ü;;;;;
15715;ESCUELA DE LENGUAJE CHARLES DARWIN;Particular Subvencionado;VILLA CODEVICHE S/N;6;CHÉPICA;BEATRIZ DE LOS ANGELES JAÑA LÓPEZ;B_JANALO@HOTMAIL.COM;-;ESCUELACHARLESDARWIN@YAHOO.ES;;;;ü;;;;;
15716;ESCUELA ESPECIAL DE LENGUAJE RUCALHUE;Particular Subvencionado;BLANCO ENCALADA 8 S/N;6;CHIMBARONGO;BÁRBARA DENNYS MUÑOZ GONZÁLEZ;BARBARADMG@HOTMAIL.COM;09-77921728;RUCALHUE_2008@HOTMAIL.ES;;;;ü;;;;;
15717;ESCUELA ESPECIAL DE LENGUAJE ALCALA;Particular Subvencionado;JOSE DOMINGO JARAMILLO 156 156;6;NANCAGUA;HERMINIA DEL CARMEN CATALÁN FLORES;ESCUELAALCALA@GMAIL.COM;72-859343;ESCUELAALCALA@GMAIL.COM;;;;ü;;;;;
15729;ESCUELA DE LENGUAJE LA GRANJITA;Particular Subvencionado;CALLE ANDES 1268;6;RANCAGUA;XIMENA ANDREA PONCE ABARCA;LAGRANJITAESCUELA@GMAIL.COM;72-2216068;LAGRANJITAESCUELA@GMAIL.COM;;;;ü;;;;;
15734;ESCUELA ESPECIAL DE LENGUAJE SAN BENITO;Particular Subvencionado;18 DE SEPTIEMBRE SANTA TERESITA 115;6;MACHALÍ;ROXANA VERÓNICA VERA GÓMEZ;TTEXILI@GMAIL.COM;72-2281938;JARDINSANBENITO@VTR.NET;;;;ü;;;;;
15736;ESCUELA TRAST. DE LA COMUNIC. SANTA ROSA DE PELEQUEN;Particular Subvencionado;AVENIDA SANTA ROSA 145 PELEQUEN S/N;6;MALLOA;MARCIA PAOLA SOTO BARRÍA;AIKRAM_5@HOTMAIL.COM;72-2384673;SANTAROSADEPELEQUEN@YAHOO.ES;;;;ü;;;;;
15738;ESCUELA TRAST. DE LA COMUNIC. NUESTRA SRA. DEL PILAR;Particular Subvencionado;ERRAZURIZ 372;6;RENGO;MACARENA ELIZABETH FARFÁN LILLO;MACA_FARFAN@HOTMAIL.COM;72-511001;MACA_FARFAN@HOTMAIL.COM;;;;ü;;;;;
15740;ESCUELA DE LENGUAJE SAN ANDRES;Particular Subvencionado;ARTURO PRAT 453;6;SAN VICENTE;LORENA JACQUELINE RUBIO TORRES;LRUBIOT@GMAIL.COM;72-571408;LRUBIOT@GMAIL.COM;;;;ü;;;;;
15741;ESCUELA DE LENGUAJE SANTA MARIA DE LA COMUNA;Particular Subvencionado;OSCAR GAJARDO 2351;6;PLACILLA;ISABEL ESPERANZA HINOJOSA PUGA;HINOPU@YAHOO.COM;72-856118;ESCUELASANTAMARIA@HOTMAIL.COM;;;;ü;;;;;
15742;ESCUELA DE ESTIMUL. DE LENGUAJE CHARLES DARWIN;Particular Subvencionado;LAS DALIAS 476;6;REQUÍNOA;ALEJANDRA DEL CARMEN IRRIBARRA GUERRA;AIRRIBARRA@GMAIL.COM;72-2551221;ESCUELACHARLESDARWIN@YAHOO.ES;;;;ü;;;;;
15747;COLEGIO DE EDUCACION ESPECIAL MOSTAZAL;Particular Subvencionado;EL ROBLE    VILLA PADELPA 145;6;MOSTAZAL;ISABEL DEL CARMEN CUEVAS ESCOBAR;COESMO_01@YAHOO.COM;72-2491394;COESMO_01@YAHOO.COM;;ü;;;;;;;
15748;ESCUELA ESPECIAL MARIA ALICIA PONCE;Particular Subvencionado;LONGITUDINAL ANTIGUO  RUTA H- 10  SECTOR EL ROBLE S/N S/N;6;MOSTAZAL;MIRTA OLGA TAPIA ROMERO;MAPMOSTAZAL@GMAIL.COM;72-492902;MIRTA.TAPIAROMERO@GMAIL.COM;;ü;;;;;;;
15751;ESCUELA DE LENGUAJE CHARLES DARWIN;Particular Subvencionado;POBLACION NUEVA OLIVAR 31;6;OLIVAR;BÁRBARA ILEANA URZÚA PÉREZ;BURZUAPEREZ@HOTMAIL.CL;72-2392343;ESCUELACHARLESDARWIN@YAHOO.ES;;;;ü;;;;;
15754;CENTRO DE RECURSOS EDUCATIVO INTEGRARTE;Particular Subvencionado;AVDA. 18 DE SEPTIEMBRE S/N S/N;6;CHÉPICA;YASNA KARINA GODOY AGUILAR;YASNAGODOYA@GMAIL.COM;72-817472;CVALDIVIAVALENZUELA@GMAIL.COM;;ü;;;;;;;
15760;ESC. ESP. DE LENGUAJE JUNTITOS;Particular Subvencionado;LOS FRESNOS Nº3489 VILLA DON MATEO S/N;6;RANCAGUA;MARÍA LEONORA SANTIBÁÑEZ SILVA;LEONORASS@HOTMAIL.COM;72-2374048;LEONORASS@HOTMAIL.COM;;;;ü;;;;;
15761;ESCUELA ESPECIAL MADRE MARIA MAZZARELLO;Particular Subvencionado;EL ARENAL 1313 S/N;6;QUINTA DE TILCOCO;PAMELA ANDREA MORENO MORENO;MAZZARELLO2005@YAHOO.ES;72-540298;MAZZARELLO2005@YAHOO.ES;;;;ü;;;;;
15765;CHARLES DARWIN;Particular Subvencionado;LAS ACACIAS 716 S/N;6;LAS CABRAS;PRISILA ALBERNAHIT AGUAYO BELLO;PRISILAGUAYO@GMAIL.COM;72-501113;ESCUELACHARLESDARWIN@YAHOO.ES;;;;ü;;;;;
15776;COLEGIO AVE FENIX;Particular Subvencionado;SANTA GEMITA ;6;RANCAGUA;IVANIA ALEJANDRA GONZÁLEZ URIBE;IGU_5@HOTMAIL.COM;2-23174537;COLEGIOAVEFENIX@GMAIL.COM;;ü;;;;ü;;;
15778;CENTRO EDUC. ACUARELA TE ACOGE;Particular Subvencionado;POBLACION SOINCA 19;6;NANCAGUA;CAROLINA RAQUEL DEL CARMEN GUTIÉRREZ LEYTON;CEATA.NANCAGUA@GMAIL.COM;72-858565;CEATA.NANCAGUA@GMAIL.COM;;ü;;;;;;;
15780;ESCUELA ESPECIAL DE PICHIDEGUA;Particular Subvencionado;CAMINO A PICHIDEGUA S/N;6;PICHIDEGUA;NOELIA ALEJANDRA ACEVEDO CÁCERES;EESPECIAL.PICHIDEGUA@GMAIL.COM;72-591831;EESPECIAL.PICHIDEGUA@GMAIL.COM;;ü;;;;;;ü;
15782;CENTRO EDUCATIVO ESPECIAL CREEMOS;Particular Subvencionado;EL ROBLE 171 S/N;6;SAN FERNANDO;YESENIA ANDREA QUEZADA VALENCIA;YESEANDREA@GMAIL.COM;72-717138;CREEMOSEDU@HOTMAIL.COM;;ü;;;;;;;
15784;ESCUELA ESPECIAL DE LENGUAJE CODEGUA;Particular Subvencionado;CARLOS VALENZUELA RIOS 23;6;CODEGUA;PATRICIA DEL CARMEN GUTIÉRREZ ULLOA;DIRECCIONESCUELACODEGUA@GMAIL.COM;02-;DIRECCIONESCUELACODEGUA@GMAIL.COM;;;;ü;;;;;
15785;ESCUELA ESPECIAL DE LENGUAJE NUESTRA SRA. DEL ROSARIO;Particular Subvencionado;SAN MARTÍN  ROSARIO 15;6;RENGO;LUIS JOEL ARÉVALO VELOSO;LUJOARVE@HOTMAIL.COM;72-2522408;ESCUELALENGUAJEROSARIO@GMAIL.COM;;;;ü;;;;;
15788;ESCUELA ESP. DE LENG. GIORDANO BRUNO;Particular Subvencionado;ARICA 1058 ;6;RANCAGUA;MARÍA JOSÉ IBARRA ZAPATA;SAYEN_22@HOTMAIL.COM;2-32682356;ESCUELAGIORDANOBRUNO1058@GMAIL.COM;;;;ü;;;;;
15789;ESCUELA ESPECIAL DE LENGUAJE RAICES;Particular Subvencionado;SAN JUAN 982;6;MACHALÍ;DANILO ALEXIS VALENZUELA RIQUELME;DIRECTOR@RAICESMACHALI.CL;72-2413904;RAICES.MACHALI@TIE.CL;;;;ü;;;;;
15790;ESCUELA ESPECIAL AYUDANDO A CRECER;Particular Subvencionado;AVENIDA CHILE 369;6;CHIMBARONGO;ORIANA ESCOBAR LÓPEZ;ORIANAESCOBAR1@GMAIL.COM;72-2781388;ACRECER.ESCUELA@GMAIL.COM;;ü;;;;ü;;ü;
15791;ESCUELA ESPECIAL DIFERENCIAL SAN ANDRES;Particular Subvencionado;CALLE: HERMANOS CARRERA 955 S/N;6;PICHILEMU;VALENTINA JOSÉ FREDES ARANDA;VALENEDUCDIF@HOTMAIL.CL;72-2842318;ESCUELASANANDRES@GMAIL.COM;;ü;;;;;;;
15796;ESC. ESP.DE LENGUAJE SAN FRANCISCO DE ASIS;Particular Subvencionado;CALLE SAN JUAN DE LA CRUZ 2835 S/N;6;GRANEROS;FERNANDO RODOLFO LÓPEZ RAMÍREZ;MACIELMEDINAESTAY@GMAIL.COM;72-2575250;SANTATERESITADELOSANDES@VTR.NET;;;;ü;;;;;
15798;ESCUELA ESPECIAL DE LENGUAJE SAN FRANCISCO DE;Particular Subvencionado;BERNARDO OHIGGINS 465;6;MALLOA;MÓNICA MARÍA FUENZALIDA GONZÁLEZ;ESCUELALENGUAJEMALLOA@YAHOO.ES;72-2387031;ESCUELALENGUAJEMALLOA@YAHOO.ES;;;;ü;;;;;
15799;COLEGIO DE LENGUAJE PADRE PIO;Particular Subvencionado;EL SAUCE 159;6;SANTA CRUZ;NATALIA PATRICIA ARANCIBIA ARAYA;NATY_ARANCIBIA@HOTMAIL.COM;72-2824788;COLEGIOPADREPIO@GMAIL.COM;;;;ü;;;;;
15800;ESC. ESP. DE LENGUAJE EL SEMBRADOR;Particular Subvencionado;PEDRO AGUIRRE CERDA 211 S/N;6;DOÑIHUE;RODRIGO OCIEL CÁCERES IBARRA;GUIGOCACERES@GMAIL.COM;72-466291;JORGEPINARA@GMAIL.COM;;;;ü;;;;;
15804;ESCUELA ESPECIAL SAN VALENTIN;Particular Subvencionado;FRANCISCO CORREA 95 S/N;6;GRANEROS;MARCELA ELIANA SOTO CUEVAS;MARCELASOTO1979@HOTMAIL.COM;72-471515;COLEGIOSANVALENTIN@GMAIL.COM;;;;ü;;;;;
15805;ESCUELA ESPECIAL NUEVO AMANECER;Particular Subvencionado;ARTURO PRAT 111;6;GRANEROS;VICTORIA CAROLINA DÍAZ CARO;VDIAZCARO@GMAIL.COM;72-473683;ESCUELANUEVOAMANECER2007@GMAIL.COM;;;;ü;;;;;
15815;ESCUELA DE LENGUAJE RAYITO DE SOL;Particular Subvencionado;SORAYA CORTES LIRA 1232 VILLA EL RODADO 1232;6;RANCAGUA;MARÍA EUGENIA TAPIA CÁCERES;MTAPIA@ESCUELARAYITODESOL.CL;72-246037;LENGUAJEDERANCAGUA@GMAIL.COM;;;;ü;;;;;
15818;ESCUELA ESPECIAL DE LENGUAJE ALTAZOR;Particular Subvencionado;VILLA CONAVICOOP ;6;SAN FERNANDO;LIZA LOREDANA PALLINI ALTAMIRANO;LIZAPALLINI@GMAIL.COM;2-23577037;ESCUELALTAZORSANFERNANDO@GMAIL.COM;;;;ü;;;;;
15819;COLEGIO DE LENGUAJE PADRE PIO PERALILLO;Particular Subvencionado;MANUEL RODRIGUEZ 600;6;PERALILLO;MARÍA TERESA ROJAS SOTO;M_ROJAS_SOTO@YAHOO.ES;72-2861564;COLEGIOPADREPIO@GMAIL.COM;;;;ü;;;;;
15821;ESCUELA DE LENGUAJE PUCARA;Particular Subvencionado;AV. LAS ACACIAS N° 11 S/N;6;LAS CABRAS;PAMELA DEL CARMEN MIRANDA SOTO;PAMELA_MSOTO@HOTMAIL.COM;72-501051;PAMELA_MSOTO@HOTMAIL.COM;;;;ü;;;;;
15822;ESCUELA DE LENGUAJE EL ARCA DE CRISTOBAL;Particular Subvencionado;12 DE FEBRERO N°223 ;6;CHÉPICA;PRISCILLA DANIELA VIDAL HERREROS;PRISONV@YAHOO.COM;72-783684;ARCADECRISTOBAL@YAHOO.COM;;;;ü;;;;;
15823;ESCUELA DE LENGUAJE HAKUNA MATATA;Particular Subvencionado;CALLE NUEVA DOS 19;6;PERALILLO;YENIFER ARACELLY ZAMORA MEJÍAS;YENIFERZAMORA.M@GMAIL.COM;72-2861602;HAKUNAMATATA.PERALILLO@GMAIL.COM;;;;ü;;;;;
15825;ESCUELA DE LENGUAJE SAN JOSE E.I.R.L.;Particular Subvencionado;VILLA LOS REYES S/N. PJE SAN FELIPE S/N;6;NANCAGUA;MARÍA ELENA PALMA VERDUGO;ESCUELA.SANJOSE.CUNACO@GMAIL.COM;6-8314086;ESCUELA.SANJOSE.CUNACO@GMAIL.COM;;;;ü;;;;;
15826;ESCUELA ESPECIAL DE LENGUAJE SAN EXPEDITO;Particular Subvencionado;EL SAUCE  VILLA LOS AROMOS 130;6;COLTAUCO;ANGELA DANIELA FRUGONE CISTERNAS;DANAFRUGONE@YAHOO.ES;9-6309688;DANAFRUGONE@YAHOO.ES;;;;ü;;;;;
15827;ESCUELA ESPECIAL DE LENGUAJE LOS ALERCES;Particular Subvencionado;JÚPITER 1768;6;RANCAGUA;ELSA PATRICIA MUÑOZ ESPINOZA;ITAMU2003@GMAIL.COM;72-2532562;ESCUELALOSALERCES@GMAIL.COM;;;;ü;;;;;
